city;lat;lon;available_permit
Süderbrarup;54.6392;9.7731;NONE
Süsel;54.0778;10.7181;NONE
Tangstedt;53.7353;10.0867;NONE
Tarp;54.6667;9.4000;NONE
Templin;53.1167;13.5000;NONE
Timmendorfer Strand;53.9944;10.7825;NONE
Tostedt;53.2833;9.7167;NONE
Trappenkamp;54.0500;10.2167;NONE
Trittau;53.6167;10.4000;NONE
Uetersen;53.6872;9.6692;NONE
Varel;53.3969;8.1361;NONE
Wahlstedt;53.9500;10.2167;NONE
Wedel;53.5833;9.7000;NONE
Weener;53.1692;7.3564;NONE
Wentorf bei Hamburg;53.4931;10.2533;NONE
Westerstede;53.2500;7.9167;NONE
Wiefelstede;53.2581;8.1172;NONE
Wiesmoor;53.4000;7.7333;NONE
Wilhelmshaven;53.5286;8.1056;NONE
Winsen;53.3667;10.2167;NONE
Wismar;53.9000;11.4667;NONE
Wittmund;53.5750;7.7808;NONE
Zeven;53.3000;9.2833;NONE
Jülich;50.9222;6.3583;F23
Bad Wildungen;51.1167;9.1167;F23
Plettenberg;51.2167;7.8833;F23
Mettmann;51.2500;6.9667;F23
Lohfelden;51.2716;9.5487;F23
Kamp-Lintfort;51.5000;6.5333;F23
Castrop-Rauxel;51.5500;7.3167;F23
Lippstadt;51.6667;8.3500;F23
Harsewinkel;51.9667;8.2331;F23
Bad Pyrmont;51.9867;9.2636;F23
Hildesheim;52.1500;9.9500;F23
Bad Oeynhausen;52.2000;8.8000;F23
Barsinghausen;52.3000;9.4811;F23
Schüttorf;52.3167;7.2167;F23
Bramsche;52.4000;7.9833;F23
Großenkneten;52.9500;8.2667;F23
Weyhe;52.9936;8.8733;F23
Herzogenrath;50.8667;6.1000;NONE
Bad Hersfeld;50.8683;9.7075;NONE
Kerpen;50.8719;6.6961;NONE
Hürth;50.8775;6.8761;NONE
Alsdorf;50.8833;6.1667;NONE
Siegen;50.8833;8.0167;NONE
Baesweiler;50.9000;6.1833;NONE
Rösrath;50.9000;7.1833;NONE
Biedenkopf;50.9128;8.5322;NONE
Frechen;50.9167;6.8167;NONE
Schwalmstadt;50.9333;9.2167;NONE
Cologne;50.9364;6.9528;NONE
Overath;50.9500;7.3000;NONE
Wiehl;50.9500;7.5333;NONE
Geilenkirchen;50.9653;6.1194;NONE
Bergheim;50.9667;6.6500;NONE
Kreuztal;50.9667;7.9667;NONE
Bebra;50.9711;9.7903;NONE
Bergisch Gladbach;50.9918;7.1303;NONE
Rotenburg an der Fulda;50.9961;9.7278;NONE
Pulheim;51.0000;6.8000;NONE
Leverkusen;51.0333;6.9833;NONE
Gummersbach;51.0333;7.5667;NONE
Frankenberg;51.0589;8.7967;NONE
Hückelhoven;51.0608;6.2197;NONE
Heinsberg;51.0631;6.0964;NONE
Erkelenz;51.0833;6.3167;NONE
Grevenbroich;51.0883;6.5875;NONE
Dormagen;51.1000;6.8167;NONE
Langenfeld;51.1167;6.9500;NONE
Leichlingen;51.1167;7.0167;NONE
Lennestadt;51.1236;8.0681;NONE
Fritzlar;51.1333;9.2833;NONE
Felsberg;51.1333;9.4167;NONE
Melsungen;51.1333;9.5500;NONE
Wegberg;51.1417;6.2792;NONE
Wermelskirchen;51.1500;7.2167;NONE
Haan;51.1667;7.0000;NONE
Solingen;51.1667;7.0833;NONE
Hilden;51.1714;6.9394;NONE
Korschenbroich;51.1833;6.5167;NONE
Remscheid;51.1833;7.2000;NONE
Mönchengladbach;51.2000;6.4333;NONE
Neuss;51.2000;6.7000;NONE
Hessisch Lichtenau;51.2000;9.7167;NONE
Kaarst;51.2167;6.6167;NONE
Lüdenscheid;51.2167;7.6333;NONE
Erkrath;51.2239;6.9147;NONE
Düsseldorf;51.2333;6.7833;NONE
Viersen;51.2561;6.3972;NONE
Baunatal;51.2589;9.4183;NONE
Willich;51.2631;6.5492;NONE
Meerbusch;51.2667;6.6667;NONE
Wuppertal;51.2667;7.1833;NONE
Schwelm;51.2667;7.2667;NONE
Kaufungen;51.2811;9.6186;NONE
Ennepetal;51.2833;7.3333;NONE
Korbach;51.2833;8.8667;NONE
Ratingen;51.3000;6.8500;NONE
Kassel;51.3158;9.4979;NONE
Nettetal;51.3167;6.2833;NONE
Heiligenhaus;51.3167;6.9667;NONE
Gevelsberg;51.3167;7.3333;NONE
Sundern;51.3167;8.0000;NONE
Wolfhagen;51.3167;9.1667;NONE
Tönisvorst;51.3208;6.4931;NONE
Krefeld;51.3333;6.5667;NONE
Velbert;51.3333;7.0500;NONE
Witzenhausen;51.3422;9.8578;NONE
Fuldatal;51.3484;9.5256;NONE
Meschede;51.3500;8.2833;NONE
Vellmar;51.3500;9.4667;NONE
Kempen;51.3658;6.4194;NONE
Hagen;51.3667;7.4833;NONE
Iserlohn;51.3833;7.6667;NONE
Hemer;51.3833;7.7667;NONE
Arnsberg;51.3833;8.0833;NONE
Wetter (Ruhr);51.3881;7.3950;NONE
Brilon;51.3956;8.5678;NONE
Hattingen;51.3992;7.1858;NONE
Hannoversch Münden;51.4167;9.6500;NONE
Friedland;51.4167;9.9333;NONE
Mülheim;51.4275;6.8825;NONE
Witten;51.4333;7.3333;NONE
Duisburg;51.4347;6.7625;NONE
Schwerte;51.4458;7.5653;NONE
Essen;51.4508;7.0131;NONE
Moers;51.4592;6.6197;NONE
Bochum;51.4819;7.2158;NONE
Hofgeismar;51.4833;9.4000;NONE
Oberhausen;51.4967;6.8706;NONE
Rosdorf;51.5000;9.9000;NONE
Gelsenkirchen;51.5167;7.1000;NONE
Dortmund;51.5167;7.4667;NONE
Geldern;51.5197;6.3325;NONE
Bottrop;51.5247;6.9228;NONE
Göttingen;51.5339;9.9356;NONE
Unna;51.5347;7.6889;NONE
Rheinberg;51.5467;6.6006;NONE
Herne;51.5500;7.2167;NONE
Werl;51.5500;7.9200;NONE
Dinslaken;51.5667;6.7333;NONE
Gladbeck;51.5667;6.9667;NONE
Soest;51.5711;8.1092;NONE
Kevelaer;51.5833;6.2500;NONE
Recklinghausen;51.5850;7.1619;NONE
Bovenden;51.5897;9.9222;NONE
Kamen;51.5917;7.6653;NONE
Voerde;51.6000;6.6833;NONE
Herten;51.6000;7.1333;NONE
Waltrop;51.6167;7.3833;NONE
Lünen;51.6167;7.5167;NONE
Bergkamen;51.6167;7.6333;NONE
Oer-Erkenschwick;51.6422;7.2508;NONE
Datteln;51.6539;7.3417;NONE
Wesel;51.6586;6.6178;NONE
Uslar;51.6597;9.6358;NONE
Dorsten;51.6600;6.9642;NONE
Marl;51.6667;7.1167;NONE
Werne an der Lippe;51.6667;7.6167;NONE
Salzkotten;51.6708;8.6047;NONE
Selm;51.6833;7.4833;NONE
Hamm;51.6833;7.8167;NONE
Goch;51.6839;6.1619;NONE
Paderborn;51.7181;8.7542;NONE
Hamminkeln;51.7319;6.5908;NONE
Beckum;51.7550;8.0403;NONE
Ahlen;51.7633;7.8911;NONE
Delbrück;51.7667;8.5667;NONE
Höxter;51.7667;9.3667;NONE
Kleve;51.7900;6.1400;NONE
Rietberg;51.8000;8.4333;NONE
Einbeck;51.8167;9.8667;NONE
Holzminden;51.8297;9.4483;NONE
Dülmen;51.8308;7.2783;NONE
Bocholt;51.8333;6.6167;NONE
Borken;51.8333;6.8667;NONE
Oelde;51.8333;8.1500;NONE
Rheda-Wiedenbrück;51.8417;8.3000;NONE
Verl;51.8831;8.5167;NONE
Schloß Holte-Stukenbrock;51.8833;8.6167;NONE
Gütersloh;51.9000;8.3833;NONE
Detmold;51.9378;8.8833;NONE
Coesfeld;51.9500;7.1667;NONE
Warendorf;51.9539;7.9933;NONE
Münster;51.9625;7.6256;NONE
Alfeld;51.9886;9.8269;NONE
Lage;51.9889;8.7944;NONE
Bielefeld;52.0211;8.5347;NONE
Lemgo;52.0272;8.9117;NONE
Aerzen;52.0496;9.2638;NONE
Ahaus;52.0667;7.0000;NONE
Bad Salzuflen;52.0833;8.7467;NONE
Greven;52.0917;7.6083;NONE
Hameln;52.1000;9.3667;NONE
Herford;52.1333;8.6833;NONE
Hilter;52.1357;8.1471;NONE
Steinfurt;52.1475;7.3442;NONE
Bad Iburg;52.1592;8.0472;NONE
Nordstemmen;52.1605;9.7839;NONE
Hessisch Oldendorf;52.1667;9.2500;NONE
Emsdetten;52.1728;7.5344;NONE
Rinteln;52.1906;9.0814;NONE
Bad Münder am Deister;52.1992;9.4653;NONE
Georgsmarienhütte;52.2000;8.0667;NONE
Bünde;52.2000;8.6000;NONE
Löhne;52.2000;8.7000;NONE
Melle;52.2044;8.3389;NONE
Harsum;52.2054;9.9600;NONE
Gronau;52.2125;7.0417;NONE
Hasbergen;52.2167;7.9167;NONE
Porta Westfalica;52.2167;8.9333;NONE
Springe;52.2167;9.5500;NONE
Bissendorf;52.2333;8.1667;NONE
Sarstedt;52.2394;9.8606;NONE
Bückeburg;52.2608;9.0492;NONE
Pattensen;52.2667;9.7667;NONE
Wennigsen;52.2742;9.5708;NONE
Ibbenbüren;52.2778;7.7167;NONE
Rheine;52.2833;7.4333;NONE
Osnabrück;52.2833;8.0500;NONE
Minden;52.2883;8.9167;NONE
Belm;52.3000;8.1333;NONE
Bad Bentheim;52.3031;7.1597;NONE
Lübbecke;52.3081;8.6231;NONE
Gehrden;52.3117;9.6003;NONE
Sehnde;52.3161;9.9642;NONE
Laatzen;52.3167;9.8000;NONE
Ronnenberg;52.3194;9.6556;NONE
Bad Essen;52.3214;8.3400;NONE
Hemmingen;52.3236;9.7256;NONE
Stadthagen;52.3247;9.2069;NONE
Bad Nenndorf;52.3369;9.3786;NONE
Wallenhorst;52.3500;8.0167;NONE
Bohmte;52.3667;8.3167;NONE
Hannover;52.3667;9.7167;NONE
Lehrte;52.3667;9.9667;NONE
Petershagen;52.3833;8.9667;NONE
Emsbüren;52.3925;7.2914;NONE
Seelze;52.3961;9.5981;NONE
Garbsen;52.4183;9.5981;NONE
Wunstorf;52.4275;9.4294;NONE
Nordhorn;52.4319;7.0678;NONE
Isernhagen-Süd;52.4342;9.8572;NONE
Langenhagen;52.4394;9.7400;NONE
Rehburg-Loccum;52.4508;9.2078;NONE
Großburgwedel;52.4933;9.8586;NONE
Neuenhaus;52.5000;6.9667;NONE
Neustadt am Rübenberge;52.5000;9.4667;NONE
Damme;52.5208;8.1986;NONE
Lingen;52.5231;7.3231;NONE
Wietmarschen;52.5331;7.1331;NONE
Steinfeld;52.6000;8.2167;NONE
Diepholz;52.6072;8.3711;NONE
Hambühren;52.6333;9.9833;NONE
Haselünne;52.6667;7.4667;NONE
Dinklage;52.6667;8.1333;NONE
Lohne;52.6667;8.2386;NONE
Sulingen;52.6667;8.8000;NONE
Quakenbrück;52.6772;7.9575;NONE
Meppen;52.6936;7.2928;NONE
Löningen;52.7167;7.7667;NONE
Vechta;52.7306;8.2886;NONE
Haren;52.7667;7.2167;NONE
Goldenstedt;52.7833;8.4167;NONE
Twistringen;52.8000;8.6500;NONE
Emstek;52.8167;8.1500;NONE
Visbek;52.8333;8.3167;NONE
Bassum;52.8494;8.7267;NONE
Werlte;52.8500;7.6833;NONE
Cloppenburg;52.8500;8.0500;NONE
Walsrode;52.8667;9.5833;NONE
Bad Fallingbostel;52.8675;9.6967;NONE
Wildeshausen;52.9000;8.4333;NONE
Syke;52.9131;8.8269;NONE
Kirchlinteln;52.9428;9.3183;NONE
Garrel;52.9581;8.0253;NONE
Soltau;52.9833;9.8333;NONE
Langwedel;52.9999;9.1732;NONE
Hatten;53.0083;8.3167;NONE
Stuhr;53.0167;8.7500;NONE
Friesoythe;53.0206;7.8586;NONE
Ganderkesee;53.0358;8.5483;NONE
Delmenhorst;53.0506;8.6317;NONE
Oyten;53.0611;9.0178;NONE
Wardenburg;53.0617;8.1967;NONE
Achim;53.0653;9.0342;NONE
Papenburg;53.0667;7.4000;NONE
Burgdorf;52.4500;10.0083;F24
Duderstadt;51.5125;10.2597;F24
Salzgitter;52.1500;10.3333;F24
Wittingen;52.7167;10.7333;F24
Halberstadt;51.8958;11.0467;F24
Bad Frankenhausen;51.3558;11.1011;F24
Bernburg;51.8000;11.7333;F24
Burg;52.2725;11.8550;F24
Leuna;51.3167;12.0167;F24
Taucha;51.3800;12.4936;F24
Wittenberg;51.8671;12.6484;F24
Nauen;52.6000;12.8831;F24
Oranienburg;52.7544;13.2369;F24
Ludwigsfelde;52.2997;13.2667;F24
Meißen;51.1667;13.4833;F24
Doberlug-Kirchhain;51.6167;13.5667;F24
Erkner;52.4167;13.7500;F24
Heidenau;50.9833;13.8667;F24
Angermünde;53.0333;14.0000;F24
Kolkwitz;51.7496;14.2457;F24
Löbau;51.0944;14.6667;F24
Northeim;51.7067;10.0011;NONE
Bad Salzdetfurth;52.0653;10.0092;NONE
Eschwege;51.1881;10.0528;NONE
Gerstungen;50.9625;10.0597;NONE
Celle;52.6256;10.0825;NONE
Heilbad Heiligenstadt;51.3789;10.1386;NONE
Seesen;51.8931;10.1783;NONE
Ilsede;52.2667;10.1833;NONE
Uetze;52.4661;10.2039;NONE
Lahstedt;52.2500;10.2167;NONE
Peine;52.3203;10.2336;NONE
Treffurt;51.1367;10.2375;NONE
Osterode;51.7286;10.2522;NONE
Edemissen;52.3667;10.2667;NONE
Lengede;52.2049;10.3078;NONE
Dingelstädt;51.3156;10.3194;NONE
Eisenach;50.9761;10.3206;NONE
Leinefelde;51.3833;10.3333;NONE
Langelsheim;51.9381;10.3350;NONE
Clausthal-Zellerfeld;51.8050;10.3356;NONE
Herzberg am Harz;51.6575;10.3411;NONE
Ruhla;50.8919;10.3667;NONE
Vechelde;52.2608;10.3719;NONE
Wendeburg;52.3167;10.4000;NONE
Niederorschel;51.3694;10.4267;NONE
Goslar;51.9072;10.4300;NONE
Mühlhausen;51.2167;10.4500;NONE
Bad Lauterberg;51.6317;10.4706;NONE
Braunschweig;52.2667;10.5167;NONE
Wolfenbüttel;52.1622;10.5369;NONE
Gifhorn;52.4886;10.5464;NONE
Waltershausen;50.8975;10.5558;NONE
Bad Harzburg;51.8811;10.5622;NONE
Uelzen;52.9647;10.5658;NONE
Bleicherode;51.4167;10.5667;NONE
Friedrichroda;50.8667;10.5667;NONE
Sassenburg;52.5167;10.6333;NONE
Bad Langensalza;51.1081;10.6467;NONE
Cremlingen;52.2489;10.6542;NONE
Lehre;52.3167;10.6667;NONE
Ellrich;51.5856;10.6681;NONE
Osterwieck;51.9667;10.7167;NONE
Gotha;50.9489;10.7183;NONE
Wernigerode;51.8350;10.7853;NONE
Wolfsburg;52.4231;10.7872;NONE
Nordhausen;51.5050;10.7911;NONE
Königslutter am Elm;52.2500;10.8167;NONE
Sondershausen;51.3667;10.8667;NONE
Greußen;51.2292;10.9475;NONE
Schöningen;52.1333;10.9500;NONE
Blankenburg;51.7953;10.9622;NONE
Helmstedt;52.2281;11.0106;NONE
Erfurt;50.9833;11.0333;NONE
Thale;51.7500;11.0500;NONE
Sömmerda;51.1617;11.1169;NONE
Quedlinburg;51.7917;11.1472;NONE
Salzwedel;52.8500;11.1500;NONE
Klötze;52.6263;11.1616;NONE
Kölleda;51.1667;11.2167;NONE
Oschersleben;52.0167;11.2500;NONE
Bad Berka;50.9000;11.2808;NONE
Sangerhausen;51.4667;11.3000;NONE
Artern;51.3667;11.3000;NONE
Weimar;50.9833;11.3167;NONE
Gardelegen;52.5264;11.3925;NONE
Haldensleben;52.2833;11.4167;NONE
Buttstädt;51.1167;11.4167;NONE
Wanzleben;52.0667;11.4333;NONE
Aschersleben;51.7500;11.4667;NONE
Hettstedt;51.6333;11.5000;NONE
Apolda;51.0167;11.5167;NONE
Staßfurt;51.8667;11.5667;NONE
Jena;50.9272;11.5861;NONE
Querfurt;51.3833;11.6000;NONE
Bad Sulza;51.0875;11.6222;NONE
Wolmirstedt;52.2519;11.6297;NONE
Magdeburg;52.1317;11.6392;NONE
Wittenberge;53.0000;11.7500;NONE
Schönebeck;52.0167;11.7500;NONE
Tangerhütte;52.4333;11.8000;NONE
Teutschenthal;51.4500;11.8000;NONE
Naumburg;51.1500;11.8167;NONE
Gommern;52.0667;11.8333;NONE
Stendal;52.6000;11.8500;NONE
Hermsdorf;50.8981;11.8567;NONE
Perleberg;53.0667;11.8667;NONE
Braunsbedra;51.2833;11.9000;NONE
Eisenberg;50.9667;11.9000;NONE
Köthen;51.7500;11.9167;NONE
Halle-Neustadt;51.4789;11.9214;NONE
Möckern;52.1406;11.9525;NONE
Schkopau;51.3833;11.9667;NONE
Weißenfels;51.2000;11.9667;NONE
Tangermünde;52.5408;11.9689;NONE
Halle;51.4828;11.9697;NONE
Merseburg;51.3544;11.9928;NONE
Bad Dürrenberg;51.2833;12.0667;NONE
Gera;50.8806;12.0833;NONE
Zerbst;51.9681;12.0844;NONE
Zeitz;51.0478;12.1383;NONE
Genthin;52.4000;12.1667;NONE
Landsberg;51.5333;12.1667;NONE
Schkeuditz;51.4000;12.2167;NONE
Markranstädt;51.3017;12.2211;NONE
Dessau-Roßlau;51.8333;12.2333;NONE
Meuselwitz;51.0500;12.3000;NONE
Bitterfeld;51.6167;12.3167;NONE
Rathenow;52.6000;12.3333;NONE
Premnitz;52.5333;12.3333;NONE
Delitzsch;51.5264;12.3425;NONE
Schmölln;50.8950;12.3564;NONE
Leipzig;51.3400;12.3750;NONE
Markkleeberg;51.2778;12.3833;NONE
Kyritz;52.9500;12.4000;NONE
Coswig;51.8833;12.4333;NONE
Gräfenhainichen;51.7167;12.4333;NONE
Altenburg;50.9850;12.4333;NONE
Wiesenburg;52.1132;12.4534;NONE
Wusterhausen;52.8907;12.4618;NONE
Nobitz;50.9762;12.4861;NONE
Borna;51.1167;12.5000;NONE
Brandenburg;52.4167;12.5333;NONE
Frohburg;51.0561;12.5550;NONE
Belzig;52.1422;12.5956;NONE
Eilenburg;51.4608;12.6358;NONE
Wurzen;51.3667;12.7167;NONE
Grimma;51.2386;12.7253;NONE
Fehrbellin;52.8144;12.7661;NONE
Groß Kreutz;52.3997;12.7831;NONE
Neuruppin;52.9331;12.8000;NONE
Burgstädt;50.9167;12.8167;NONE
Treuenbrietzen;52.0972;12.8711;NONE
Wustermark;52.5497;12.9497;NONE
Beelitz;52.2333;12.9667;NONE
Niedergörsdorf;51.9765;12.9801;NONE
Mittweida;50.9856;12.9811;NONE
Schönwalde-Siedlung;52.6500;12.9833;NONE
Brieselang;52.5833;13.0000;NONE
Torgau;51.5603;13.0056;NONE
Fahrland;52.4675;13.0139;NONE
Michendorf;52.3129;13.0292;NONE
Kremmen;52.7667;13.0331;NONE
Dallgow-Döberitz;52.5331;13.0500;NONE
Potsdam;52.4000;13.0667;NONE
Jüterbog;51.9933;13.0728;NONE
Falkensee;52.5583;13.0917;NONE
Oschatz;51.3003;13.1072;NONE
Döbeln;51.1194;13.1128;NONE
Löwenberg;52.8960;13.1546;NONE
Gransee;53.0069;13.1586;NONE
Luckenwalde;52.0833;13.1667;NONE
Velten;52.6833;13.1833;NONE
Leegebruch;52.7254;13.1936;NONE
Trebbin;52.2167;13.2000;NONE
Hennigsdorf;52.6378;13.2036;NONE
Stahnsdorf;52.3922;13.2167;NONE
Falkenberg;51.5831;13.2322;NONE
Herzberg;51.6833;13.2333;NONE
Teltow;52.4022;13.2706;NONE
Birkenwerder;52.6885;13.2831;NONE
Hohen Neuendorf;52.6667;13.2833;NONE
Riesa;51.3081;13.2939;NONE
Nossen;51.0500;13.3000;NONE
Großbeeren;52.3551;13.3079;NONE
Zehdenick;52.9833;13.3333;NONE
Freiberg;50.9119;13.3428;NONE
Schildow;52.6356;13.3771;NONE
Blankenfelde;52.3500;13.4000;NONE
Bad Liebenwerda;51.5167;13.4000;NONE
Berlin;52.5200;13.4050;NONE
Rangsdorf;52.2831;13.4331;NONE
Basdorf;52.7142;13.4392;NONE
Wandlitz;52.7500;13.4497;NONE
Zossen;52.2167;13.4497;NONE
Gröditz;51.4167;13.4667;NONE
Schönefeld;52.3886;13.5048;NONE
Elsterwerda;51.4578;13.5239;NONE
Mittenwalde;52.2667;13.5333;NONE
Klipphausen;51.0833;13.5333;NONE
Wilsdruff;51.0522;13.5383;NONE
Großenhain;51.2833;13.5500;NONE
Weinböhla;51.1667;13.5667;NONE
Ahrensfelde;52.5762;13.5753;NONE
Schulzendorf;52.3667;13.5831;NONE
Zeuthen;52.3667;13.6167;NONE
Eichwalde;52.3730;13.6213;NONE
Königs Wusterhausen;52.2917;13.6250;NONE
Bestensee;52.2340;13.6307;NONE
Biesenthal;52.7667;13.6333;NONE
Wildau;52.3167;13.6333;NONE
Radebeul;51.1000;13.6500;NONE
Freital;51.0167;13.6500;NONE
Hoppegarten;52.5167;13.6667;NONE
Dippoldiswalde;50.8933;13.6667;NONE
Finsterwalde;51.6282;13.7102;NONE
Luckau;51.8500;13.7167;NONE
Bannewitz;50.9931;13.7167;NONE
Altlandsberg;52.5667;13.7331;NONE
Werneuchen;52.6333;13.7333;NONE
Dresden;51.0500;13.7400;NONE
Woltersdorf;52.4505;13.7547;NONE
Lauchhammer;51.5000;13.8000;NONE
Grünheide;52.4255;13.8228;NONE
Eberswalde;52.8333;13.8333;NONE
Schwarzheide;51.4831;13.8667;NONE
Strausberg;52.5833;13.8833;NONE
Schipkau;51.5400;13.8920;NONE
Lübben (Spreewald);51.9500;13.9000;NONE
Radeberg;51.1167;13.9167;NONE
Rehfelde;52.5200;13.9292;NONE
Pirna;50.9622;13.9403;NONE
Calau;51.7458;13.9508;NONE
Lübbenau/Spreewald;51.8667;13.9667;NONE
Großräschen;51.5831;14.0000;NONE
Senftenberg;51.5167;14.0167;NONE
Bad Freienwalde;52.7856;14.0325;NONE
Bad Saarow-Pieskow;52.2916;14.0558;NONE
