city_1;city_2;distance;required_permit
Aichach;Fürstenfeldbruck;38;NONE
Aichach;Gersthofen;25;X09
Aichach;Gröbenzell;41;X09
Aichach;Königsbrunn;33;NONE
Aichach;Neuburg;37;X09
Aichach;Neusäß;29;NONE
Aichach;Olching;40;X09
Aichach;Pfaffenhofen;34;NONE
Aichach;Schrobenhausen;16;X09
Albstadt;Balingen;17;X09
Albstadt;Hechingen;23;X09
Albstadt;Mössingen;33;X09
Albstadt;Pfullingen;43;X09
Albstadt;Reutlingen;46;X09
Albstadt;Rottweil;36;NONE
Albstadt;Sigmaringen;24;NONE
Albstadt;Trossingen;43;X09
Albstadt;Tuttlingen;43;NONE
Albstadt;Tübingen;45;NONE
Alfeld;Bad Münder am Deister;41;F23
Alfeld;Bad Salzdetfurth;21;F23
Alfeld;Einbeck;25;F23
Alfeld;Hameln;44;NONE
Alfeld;Harsum;33;NONE
Alfeld;Hildesheim;26;F23
Alfeld;Holzminden;37;F23
Alfeld;Nordstemmen;22;NONE
Alfeld;Northeim;44;NONE
Alfeld;Pattensen;36;NONE
Alfeld;Sarstedt;34;F23
Alfeld;Seesen;34;F23
Alfeld;Springe;38;F23
Alsdorf;Baesweiler;2;F23
Alsdorf;Düren;32;F23
Alsdorf;Erkelenz;26;F23
Alsdorf;Eschweiler;14;F23
Alsdorf;Geilenkirchen;12;F23
Alsdorf;Heinsberg;24;NONE
Alsdorf;Herzogenrath;7;NONE
Alsdorf;Hückelhoven;23;F23
Alsdorf;Jülich;20;F23
Alsdorf;Stolberg;18;NONE
Alsdorf;Wegberg;32;F23
Alsdorf;Würselen;9;F23
Alsfeld;Bad Hersfeld;40;X09
Alsfeld;Grünberg;34;X09
Alsfeld;Kirchhain;30;NONE
Alsfeld;Lauterbach;17;NONE
Alsfeld;Schotten;40;NONE
Alsfeld;Schwalmstadt;26;X09
Alsfeld;Stadtallendorf;26;X09
Altenburg;Borna;19;F24
Altenburg;Burgstädt;33;NONE
Altenburg;Crimmitschau;23;F24
Altenburg;Frohburg;14;F24
Altenburg;Gera;31;NONE
Altenburg;Glauchau;24;NONE
Altenburg;Grimma;41;F24
Altenburg;Hohenstein-Ernstthal;36;NONE
Altenburg;Lichtenstein;34;NONE
Altenburg;Limbach-Oberfrohna;31;F24
Altenburg;Markkleeberg;43;F24
Altenburg;Meerane;18;NONE
Altenburg;Meuselwitz;12;NONE
Altenburg;Mülsen;35;F24
Altenburg;Nobitz;4;NONE
Altenburg;Ronneburg;26;NONE
Altenburg;Schmölln;12;NONE
Altenburg;Werdau;33;F24
Altenburg;Zeitz;24;NONE
Altenburg;Zwickau;34;NONE
Altenholz;Bordesholm;30;A38
Altenholz;Büdelsdorf;38;A38
Altenholz;Eckernförde;25;NONE
Altenholz;Flintbek;23;A38
Altenholz;Gettorf;13;A38
Altenholz;Heikendorf;23;A38
Altenholz;Kappeln;52;NONE
Altenholz;Kiel;11;NONE
Altenholz;Kronshagen;11;A38
Altenholz;Laboe;30;NONE
Altenholz;Lütjenburg;47;NONE
Altenholz;Molfsee;19;A38
Altenholz;Nortorf;38;NONE
Altenholz;Osterrönfeld;40;A38
Altenholz;Plön;40;A38
Altenholz;Preetz;27;NONE
Altenholz;Rendsburg;42;NONE
Altenholz;Schönberg in Holstein;32;NONE
Altenholz;Schönkirchen;20;NONE
Altenstadt;Alzenau in Unterfranken;34;NONE
Altenstadt;Bad Homburg;30;X09
Altenstadt;Bad Nauheim;19;X09
Altenstadt;Bad Orb;45;NONE
Altenstadt;Bad Soden-Salmünster;47;X09
Altenstadt;Bad Vilbel;23;X09
Altenstadt;Bruchköbel;14;X09
Altenstadt;Butzbach;31;X09
Altenstadt;Büdingen;13;X09
Altenstadt;Dietzenbach;46;NONE
Altenstadt;Erlensee;24;NONE
Altenstadt;Eschborn;39;X09
Altenstadt;Frankfurt;31;X09
Altenstadt;Friedrichsdorf;27;X09
Altenstadt;Gelnhausen;25;X09
Altenstadt;Grünberg;46;NONE
Altenstadt;Hanau;21;X09
Altenstadt;Heusenstamm;40;X09
Altenstadt;Hungen;29;X09
Altenstadt;Karben;16;NONE
Altenstadt;Kronberg;41;NONE
Altenstadt;Langenselbold;16;NONE
Altenstadt;Langgöns;43;NONE
Altenstadt;Lich;39;NONE
Altenstadt;Maintal;23;NONE
Altenstadt;Neu Isenburg;41;NONE
Altenstadt;Neu-Anspach;36;NONE
Altenstadt;Nidda;20;X09
Altenstadt;Nidderau;14;X09
Altenstadt;Obertshausen;36;NONE
Altenstadt;Oberursel;33;X09
Altenstadt;Rodenbach;22;NONE
Altenstadt;Rodgau;38;X09
Altenstadt;Rosbach vor der Höhe;21;X09
Altenstadt;Schotten;34;X09
Altenstadt;Seligenstadt;37;NONE
Altenstadt;Steinbach am Taunus;36;NONE
Altenstadt;Usingen;38;X09
Altenstadt;Wächtersbach;43;NONE
Altlandsberg;Bad Freienwalde;39;NONE
Altlandsberg;Basdorf;38;NONE
Altlandsberg;Berlin;24;F24
Altlandsberg;Biesenthal;29;NONE
Altlandsberg;Birkenwerder;40;F24
Altlandsberg;Blankenfelde;40;F24
Altlandsberg;Eberswalde;38;F24
Altlandsberg;Eichwalde;34;NONE
Altlandsberg;Erkner;22;NONE
Altlandsberg;Fürstenwalde;43;NONE
Altlandsberg;Grünheide;22;NONE
Altlandsberg;Hohen Neuendorf;42;F24
Altlandsberg;Hoppegarten;8;F24
Altlandsberg;Königs Wusterhausen;42;F24
Altlandsberg;Müncheberg;35;F24
Altlandsberg;Rehfelde;16;F24
Altlandsberg;Schildow;34;F24
Altlandsberg;Schulzendorf;34;F24
Altlandsberg;Schönefeld;29;NONE
Altlandsberg;Strausberg;13;NONE
Altlandsberg;Wandlitz;36;F24
Altlandsberg;Werneuchen;12;F24
Altlandsberg;Wildau;40;NONE
Altlandsberg;Woltersdorf;14;NONE
Altlandsberg;Wriezen;36;NONE
Altlandsberg;Zeuthen;35;NONE
Alzenau in Unterfranken;Aschaffenburg;18;X09
Alzenau in Unterfranken;Babenhausen;18;X09
Alzenau in Unterfranken;Bad Orb;36;NONE
Alzenau in Unterfranken;Bad Soden-Salmünster;38;NONE
Alzenau in Unterfranken;Bad Vilbel;34;X09
Alzenau in Unterfranken;Bruchköbel;22;NONE
Alzenau in Unterfranken;Büdingen;35;NONE
Alzenau in Unterfranken;Dieburg;30;X09
Alzenau in Unterfranken;Dietzenbach;26;NONE
Alzenau in Unterfranken;Dreieich;32;X09
Alzenau in Unterfranken;Egelsbach;37;NONE
Alzenau in Unterfranken;Erlensee;16;X09
Alzenau in Unterfranken;Frankfurt;37;X09
Alzenau in Unterfranken;Gelnhausen;23;NONE
Alzenau in Unterfranken;Groß-Umstadt;30;NONE
Alzenau in Unterfranken;Groß-Zimmern;34;X09
Alzenau in Unterfranken;Großostheim;22;NONE
Alzenau in Unterfranken;Hanau;18;NONE
Alzenau in Unterfranken;Heusenstamm;31;X09
Alzenau in Unterfranken;Höchst im Odenwald;40;X09
Alzenau in Unterfranken;Karben;36;NONE
Alzenau in Unterfranken;Langenselbold;21;X09
Alzenau in Unterfranken;Maintal;26;X09
Alzenau in Unterfranken;Neu Isenburg;38;X09
Alzenau in Unterfranken;Nidderau;34;X09
Alzenau in Unterfranken;Ober-Ramstadt;43;X09
Alzenau in Unterfranken;Obertshausen;30;X09
Alzenau in Unterfranken;Reinheim;40;NONE
Alzenau in Unterfranken;Rodenbach;20;NONE
Alzenau in Unterfranken;Rodgau;18;NONE
Alzenau in Unterfranken;Roßdorf;38;X09
Alzenau in Unterfranken;Seligenstadt;11;X09
Alzenau in Unterfranken;Wächtersbach;34;X09
Alzey;Bad Dürkheim;38;K62
Alzey;Bad Kreuznach;25;K62
Alzey;Bingen am Rhein;35;K62
Alzey;Bischofsheim;39;K62
Alzey;Bobenheim-Roxheim;34;NONE
Alzey;Bürstadt;34;NONE
Alzey;Büttelborn;41;NONE
Alzey;Frankenthal;37;K62
Alzey;Geisenheim;40;K62
Alzey;Gernsheim;30;NONE
Alzey;Ginsheim-Gustavsburg;36;K62
Alzey;Griesheim;44;NONE
Alzey;Groß-Gerau;38;NONE
Alzey;Grünstadt;24;K62
Alzey;Hochheim am Version3.Main;42;K62
Alzey;Ingelheim;33;NONE
Alzey;Lampertheim;37;NONE
Alzey;Lorsch;43;K62
Alzey;Mainz;33;K62
Alzey;Nauheim;46;K62
Alzey;Nieder-Olm;22;K62
Alzey;Oestrich-Winkel;42;K62
Alzey;Rüsselsheim;44;K62
Alzey;Trebur;35;NONE
Alzey;Worms;27;K62
Amberg;Neumarkt;37;NONE
Amberg;Schwandorf;24;X09
Amberg;Sulzbach-Rosenberg;11;NONE
Andernach;Bad Honnef am Rhein;29;K62
Andernach;Bad Neuenahr-Ahrweiler;28;K62
Andernach;Bendorf;15;K62
Andernach;Boppard;38;K62
Andernach;Koblenz;18;NONE
Andernach;Königswinter;33;K62
Andernach;Lahnstein;26;NONE
Andernach;Mayen;22;K62
Andernach;Montabaur;40;K62
Andernach;Mülheim-Kärlich;10;NONE
Andernach;Neuwied;7;K62
Andernach;Remagen;20;K62
Andernach;Sinzig;16;K62
Angermünde;Bad Freienwalde;32;F24
Angermünde;Eberswalde;27;F24
Angermünde;Prenzlau;43;F24
Angermünde;Schwedt (Oder);21;F24
Angermünde;Templin;45;NONE
Annaberg-Buchholz;Aue;26;X09
Annaberg-Buchholz;Chemnitz;34;X09
Annaberg-Buchholz;Flöha;38;NONE
Annaberg-Buchholz;Hohenstein-Ernstthal;40;X09
Annaberg-Buchholz;Lichtenstein;42;X09
Annaberg-Buchholz;Marienberg;16;X09
Annaberg-Buchholz;Olbernhau;34;NONE
Annaberg-Buchholz;Schneeberg;32;NONE
Annaberg-Buchholz;Schwarzenberg;23;X09
Annaberg-Buchholz;Stollberg;29;X09
Annaberg-Buchholz;Zwönitz;21;X09
Ansbach;Gunzenhausen;27;NONE
Ansbach;Oberasbach;35;X09
Ansbach;Schwabach;36;X09
Ansbach;Zirndorf;36;NONE
Apen;Bad Zwischenahn;16;NONE
Apen;Barßel;8;A38
Apen;Edewecht;19;NONE
Apen;Friedeburg;32;NONE
Apen;Friesoythe;25;A38
Apen;Garrel;40;NONE
Apen;Leer;30;NONE
Apen;Mittegroßefehn;31;NONE
Apen;Oldenburg;35;NONE
Apen;Ostrhauderfehn;21;NONE
Apen;Papenburg;41;NONE
Apen;Rastede;33;A38
Apen;Rhaude;22;A38
Apen;Varel;32;NONE
Apen;Wardenburg;37;A38
Apen;Weener;42;A38
Apen;Westerstede;8;A38
Apen;Wiefelstede;27;A38
Apen;Wiesmoor;23;NONE
Apen;Zetel;29;A38
Apolda;Bad Berka;25;NONE
Apolda;Bad Sulza;13;F24
Apolda;Blankenhain;26;NONE
Apolda;Buttstädt;17;F24
Apolda;Eisenberg;34;NONE
Apolda;Erfurt;44;NONE
Apolda;Hermsdorf;36;F24
Apolda;Jena;14;F24
Apolda;Kahla;29;F24
Apolda;Kölleda;36;F24
Apolda;Naumburg;31;NONE
Apolda;Stadtroda;33;F24
Apolda;Sömmerda;40;NONE
Apolda;Weimar;18;NONE
Arnsberg;Brilon;43;F23
Arnsberg;Hemer;31;F23
Arnsberg;Iserlohn;40;F23
Arnsberg;Lennestadt;46;NONE
Arnsberg;Meschede;20;NONE
Arnsberg;Plettenberg;35;F23
Arnsberg;Soest;25;F23
Arnsberg;Sundern;12;NONE
Arnsberg;Unna;43;F23
Arnsberg;Werl;28;F23
Arnstadt;Bad Berka;31;X09
Arnstadt;Bad Blankenburg;35;NONE
Arnstadt;Blankenhain;38;X09
Arnstadt;Erfurt;20;X09
Arnstadt;Friedrichroda;33;NONE
Arnstadt;Gotha;25;X09
Arnstadt;Großbreitenbach;37;X09
Arnstadt;Ilmenau;21;X09
Arnstadt;Kurort Steinbach-Hallenberg;42;NONE
Arnstadt;Königsee;28;X09
Arnstadt;Ohrdruf;22;NONE
Arnstadt;Rudolstadt;38;X09
Arnstadt;Stadtilm;13;NONE
Arnstadt;Suhl;39;NONE
Arnstadt;Waltershausen;33;X09
Arnstadt;Weimar;36;NONE
Arnstadt;Zella-Mehlis;34;X09
Artern;Bad Frankenhausen;17;F24
Artern;Buttstädt;36;F24
Artern;Greußen;37;NONE
Artern;Hettstedt;39;F24
Artern;Kölleda;32;NONE
Artern;Querfurt;25;F24
Artern;Sangerhausen;13;NONE
Artern;Sondershausen;38;NONE
Artern;Sömmerda;32;F24
Aschaffenburg;Babenhausen;16;NONE
Aschaffenburg;Bad Orb;46;X09
Aschaffenburg;Bruchköbel;35;X09
Aschaffenburg;Dieburg;25;X09
Aschaffenburg;Dietzenbach;31;NONE
Aschaffenburg;Dreieich;38;X09
Aschaffenburg;Egelsbach;48;X09
Aschaffenburg;Erlensee;29;X09
Aschaffenburg;Gelnhausen;44;X09
Aschaffenburg;Groß-Umstadt;23;X09
Aschaffenburg;Groß-Zimmern;29;X09
Aschaffenburg;Großostheim;9;X09
Aschaffenburg;Hanau;33;NONE
Aschaffenburg;Heusenstamm;33;NONE
Aschaffenburg;Höchst im Odenwald;28;X09
Aschaffenburg;Langenselbold;33;NONE
Aschaffenburg;Maintal;39;NONE
Aschaffenburg;Michelstadt;43;NONE
Aschaffenburg;Neu Isenburg;39;X09
Aschaffenburg;Ober-Ramstadt;38;X09
Aschaffenburg;Obertshausen;31;NONE
Aschaffenburg;Reinheim;33;X09
Aschaffenburg;Rodenbach;33;X09
Aschaffenburg;Rodgau;24;NONE
Aschaffenburg;Roßdorf;34;NONE
Aschaffenburg;Seligenstadt;18;X09
Aschaffenburg;Wächtersbach;57;NONE
Aschersleben;Bernburg;23;F24
Aschersleben;Halberstadt;38;F24
Aschersleben;Hettstedt;17;F24
Aschersleben;Köthen;39;F24
Aschersleben;Oschersleben;46;F24
Aschersleben;Quedlinburg;27;NONE
Aschersleben;Sangerhausen;42;F24
Aschersleben;Staßfurt;20;NONE
Aschersleben;Thale;38;F24
Aue;Auerbach;28;NONE
Aue;Chemnitz;37;X09
Aue;Crimmitschau;44;NONE
Aue;Glauchau;35;NONE
Aue;Hohenstein-Ernstthal;31;X09
Aue;Lichtenstein;23;X09
Aue;Limbach-Oberfrohna;44;NONE
Aue;Marienberg;43;NONE
Aue;Meerane;44;X09
Aue;Mülsen;27;NONE
Aue;Reichenbach/Vogtland;38;NONE
Aue;Schneeberg;6;X09
Aue;Schwarzenberg;7;NONE
Aue;Stollberg;16;X09
Aue;Werdau;37;X09
Aue;Zwickau;26;X09
Aue;Zwönitz;11;X09
Auerbach;Crimmitschau;43;NONE
Auerbach;Greiz;26;NONE
Auerbach;Lichtenstein;40;X09
Auerbach;Mülsen;36;NONE
Auerbach;Plauen;28;X09
Auerbach;Reichenbach/Vogtland;18;X09
Auerbach;Schneeberg;26;X09
Auerbach;Schwarzenberg;35;X09
Auerbach;Stollberg;45;X09
Auerbach;Werdau;32;X09
Auerbach;Zeulenroda;39;X09
Auerbach;Zwickau;30;X09
Auerbach;Zwönitz;40;NONE
Augsburg;Bobingen;17;NONE
Augsburg;Friedberg;8;X09
Augsburg;Fürstenfeldbruck;41;X09
Augsburg;Gersthofen;7;X09
Augsburg;Königsbrunn;14;X09
Augsburg;Neusäß;7;X09
Augsburg;Schrobenhausen;40;X09
Aurich;Emden;26;A38
Aurich;Friedeburg;29;NONE
Aurich;Jever;33;A38
Aurich;Leer;31;A38
Aurich;Mittegroßefehn;12;A38
Aurich;Norden;27;NONE
Aurich;Rhaude;42;NONE
Aurich;Schortens;39;NONE
Aurich;Weener;42;A38
Aurich;Wiesmoor;25;NONE
Aurich;Wittmund;24;A38
Aurich;Zetel;41;NONE
Aßlar;Bad Camberg;48;NONE
Aßlar;Bad Nauheim;41;K62
Aßlar;Bieber;12;K62
Aßlar;Braunfels;16;K62
Aßlar;Butzbach;25;K62
Aßlar;Dautphe;40;NONE
Aßlar;Dillenburg;28;NONE
Aßlar;Gießen;19;NONE
Aßlar;Gladenbach;29;K62
Aßlar;Grünberg;43;K62
Aßlar;Hadamar;42;K62
Aßlar;Haiger;33;NONE
Aßlar;Herborn;21;NONE
Aßlar;Hungen;43;NONE
Aßlar;Langgöns;23;NONE
Aßlar;Lich;33;K62
Aßlar;Lollar;28;K62
Aßlar;Marburg;49;K62
Aßlar;Neu-Anspach;41;K62
Aßlar;Reiskirchen;32;NONE
Aßlar;Usingen;36;NONE
Aßlar;Weilburg;28;NONE
Aßlar;Wetzlar;4;K62
Babenhausen;Bad Vilbel;39;NONE
Babenhausen;Bruchköbel;28;NONE
Babenhausen;Büttelborn;41;X09
Babenhausen;Darmstadt;28;X09
Babenhausen;Dieburg;11;NONE
Babenhausen;Dietzenbach;16;X09
Babenhausen;Dreieich;23;X09
Babenhausen;Egelsbach;26;NONE
Babenhausen;Erbach;39;X09
Babenhausen;Erlensee;23;NONE
Babenhausen;Eschborn;46;NONE
Babenhausen;Frankfurt;31;NONE
Babenhausen;Gelnhausen;42;NONE
Babenhausen;Griesheim;34;X09
Babenhausen;Groß-Gerau;43;X09
Babenhausen;Groß-Umstadt;12;X09
Babenhausen;Groß-Zimmern;16;NONE
Babenhausen;Großostheim;13;X09
Babenhausen;Hanau;22;X09
Babenhausen;Heusenstamm;19;NONE
Babenhausen;Höchst im Odenwald;22;X09
Babenhausen;Karben;40;NONE
Babenhausen;Kelsterbach;40;X09
Babenhausen;Langenselbold;32;X09
Babenhausen;Maintal;28;NONE
Babenhausen;Michelstadt;37;X09
Babenhausen;Mörfelden-Walldorf;39;X09
Babenhausen;Neu Isenburg;28;NONE
Babenhausen;Nidderau;40;X09
Babenhausen;Ober-Ramstadt;24;NONE
Babenhausen;Obertshausen;18;X09
Babenhausen;Pfungstadt;36;X09
Babenhausen;Reinheim;22;NONE
Babenhausen;Rodenbach;28;X09
Babenhausen;Rodgau;9;NONE
Babenhausen;Roßdorf;20;X09
Babenhausen;Seeheim-Jugenheim;37;X09
Babenhausen;Seligenstadt;11;X09
Babenhausen;Weiterstadt;33;X09
Backnang;Bietigheim-Bissingen;27;X09
Backnang;Brackenheim;35;X09
Backnang;Ditzingen;41;NONE
Backnang;Ebersbach an der Fils;37;NONE
Backnang;Eislingen;47;X09
Backnang;Esslingen;37;NONE
Backnang;Fellbach;23;NONE
Backnang;Filderstadt;44;X09
Backnang;Freiberg am Neckar;21;X09
Backnang;Gerlingen;43;NONE
Backnang;Göppingen;42;NONE
Backnang;Heilbronn;32;NONE
Backnang;Kirchheim unter Teck;46;NONE
Backnang;Korntal-Münchingen;34;NONE
Backnang;Kornwestheim;28;NONE
Backnang;Leonberg;46;NONE
Backnang;Ludwigsburg;24;X09
Backnang;Marbach am Neckar;16;X09
Backnang;Neckarsulm;40;X09
Backnang;Ostfildern;37;NONE
Backnang;Schorndorf;24;NONE
Backnang;Schwäbisch Gmünd;43;NONE
Backnang;Schwäbisch Hall;36;NONE
Backnang;Stuttgart;32;X09
Backnang;Vaihingen an der Enz;42;X09
Backnang;Waiblingen;19;NONE
Backnang;Wendlingen am Neckar;46;NONE
Backnang;Winnenden;10;X09
Backnang;Öhringen;39;X09
Bad Aibling;Bruckmühl;8;X09
Bad Aibling;Haar;39;X09
Bad Aibling;Holzkirchen;28;NONE
Bad Aibling;Kolbermoor;5;X09
Bad Aibling;Ottobrunn;40;X09
Bad Aibling;Rosenheim;10;X09
Bad Aibling;Vaterstetten;37;NONE
Bad Bentheim;Emsbüren;17;F23
Bad Bentheim;Emsdetten;34;NONE
Bad Bentheim;Gronau;18;NONE
Bad Bentheim;Lingen;37;F23
Bad Bentheim;Neuenhaus;27;F23
Bad Bentheim;Nordhorn;17;NONE
Bad Bentheim;Rheine;21;F23
Bad Bentheim;Schüttorf;5;F23
Bad Bentheim;Steinfurt;26;NONE
Bad Bentheim;Wietmarschen;28;NONE
Bad Berka;Bad Blankenburg;35;F24
Bad Berka;Bad Sulza;37;F24
Bad Berka;Blankenhain;6;NONE
Bad Berka;Buttstädt;31;F24
Bad Berka;Erfurt;23;NONE
Bad Berka;Ilmenau;39;NONE
Bad Berka;Jena;33;F24
Bad Berka;Kahla;28;F24
Bad Berka;Kölleda;51;NONE
Bad Berka;Königsee;45;NONE
Bad Berka;Pößneck;40;NONE
Bad Berka;Rudolstadt;27;F24
Bad Berka;Saalfeld;38;F24
Bad Berka;Stadtilm;22;F24
Bad Berka;Stadtroda;44;F24
Bad Berka;Sömmerda;45;F24
Bad Berka;Unterwellenborn;40;NONE
Bad Berka;Weimar;11;NONE
Bad Blankenburg;Blankenhain;29;NONE
Bad Blankenburg;Großbreitenbach;28;X09
Bad Blankenburg;Ilmenau;30;X09
Bad Blankenburg;Kahla;30;NONE
Bad Blankenburg;Königsee;14;NONE
Bad Blankenburg;Neuhaus am Rennweg;29;NONE
